Designator,Mid X,Mid Y,Layer,Rotation
,38.100000mm,-141.605000mm,Top,0
C1,74.168000mm,-67.056000mm,Top,180
C2,92.202000mm,-66.548000mm,Top,90
C3,88.392000mm,-66.548000mm,Top,90
C5,62.230000mm,-65.405000mm,Top,270
C6,59.182000mm,-130.048000mm,Top,0
C7,73.444500mm,-130.048000mm,Top,0
C8,64.262000mm,-136.398000mm,Top,90
C9,78.232000mm,-136.398000mm,Top,90
C10,43.942000mm,-95.758000mm,Top,90
C11,43.942000mm,-84.328000mm,Top,90
C12,43.942000mm,-107.188000mm,Top,90
C13,43.942000mm,-72.898000mm,Top,90
C14,49.999500mm,-90.678000mm,Top,0
C15,49.999500mm,-79.248000mm,Top,0
C16,50.292000mm,-102.108000mm,Top,0
C17,50.292000mm,-67.818000mm,Top,0
C18,101.092000mm,-130.048000mm,Top,0
C20,87.122000mm,-130.048000mm,Top,0
C21,97.282000mm,-122.720500mm,Top,90
C22,97.282000mm,-109.728000mm,Top,90
C23,48.044500mm,-61.468000mm,Top,180
C25,106.172000mm,-136.105500mm,Top,270
C26,92.202000mm,-136.690500mm,Top,90
C27,103.924500mm,-117.348000mm,Top,0
C28,103.924500mm,-104.648000mm,Top,0
C29,42.672000mm,-54.825500mm,Top,90
C30,89.662000mm,-60.198000mm,Top,180
C31,75.692000mm,-61.468000mm,Top,180
C32,61.722000mm,-61.468000mm,Top,180
C33,97.282000mm,-97.320500mm,Top,90
C34,97.282000mm,-85.598000mm,Top,90
C35,84.582000mm,-53.848000mm,Top,90
C36,70.612000mm,-55.118000mm,Top,90
C37,56.642000mm,-55.118000mm,Top,90
C38,103.632000mm,-91.948000mm,Top,0
C39,103.632000mm,-79.248000mm,Top,0
D1,59.055000mm,-64.770000mm,Top,0
J1,64.262000mm,-95.758000mm,Top,0
J4,61.976000mm,-47.244000mm,Top,180
J5,47.752000mm,-47.244000mm,Top,180
J6,112.776000mm,-85.090000mm,Top,90
J7,90.424000mm,-47.244000mm,Top,180
J8,76.378001mm,-47.463001mm,Top,180
J9,112.776000mm,-96.012000mm,Top,90
J10,101.092000mm,-143.256000mm,Top,0
J11,112.776000mm,-121.412000mm,Top,90
J12,112.776000mm,-108.712000mm,Top,90
J13,57.912000mm,-143.256000mm,Top,0
J14,71.755000mm,-143.256000mm,Top,0
J15,86.360000mm,-143.256000mm,Top,0
J16,37.465000mm,-80.772000mm,Top,270
J17,37.465000mm,-92.075000mm,Top,270
J18,37.465000mm,-103.505000mm,Top,270
J19,37.465000mm,-69.215000mm,Top,270
J20,41.148000mm,-119.888000mm,Top,270
L1,64.262000mm,-131.318000mm,Top,270
L2,78.232000mm,-131.318000mm,Top,270
L3,43.697000mm,-90.678000mm,Top,0
L4,43.697000mm,-79.248000mm,Top,0
L5,43.697000mm,-102.108000mm,Top,0
L6,44.187000mm,-67.818000mm,Top,0
L7,106.172000mm,-131.073000mm,Top,270
L8,92.202000mm,-131.318000mm,Top,270
L9,98.307000mm,-117.348000mm,Top,0
L10,98.307000mm,-104.648000mm,Top,0
L11,42.672000mm,-60.443000mm,Top,90
L12,84.582000mm,-59.173000mm,Top,90
L13,70.612000mm,-60.443000mm,Top,90
L14,56.642000mm,-60.443000mm,Top,90
L15,98.307000mm,-91.948000mm,Top,0
L16,98.307000mm,-79.248000mm,Top,0
R1,59.055000mm,-66.675000mm,Top,0
R2,48.260000mm,-122.428000mm,Top,0
R3,48.260000mm,-119.888000mm,Top,0
R4,59.182000mm,-138.938000mm,Top,0
R5,72.794500mm,-138.938000mm,Top,0
R6,52.832000mm,-95.758000mm,Top,90
R7,52.832000mm,-84.685500mm,Top,90
R8,52.832000mm,-107.188000mm,Top,90
R9,52.832000mm,-72.898000mm,Top,90
R10,101.092000mm,-138.938000mm,Top,0
R11,87.122000mm,-138.938000mm,Top,0
R12,106.172000mm,-122.428000mm,Top,90
R13,106.172000mm,-109.728000mm,Top,90
R14,47.752000mm,-52.578000mm,Top,180
R15,89.662000mm,-51.308000mm,Top,180
R16,75.692000mm,-51.308000mm,Top,180
R17,61.722000mm,-52.578000mm,Top,180
R18,106.172000mm,-97.940500mm,Top,90
R19,106.172000mm,-85.598000mm,Top,90
U1,68.072000mm,-66.548000mm,Top,0
U2,59.182000mm,-135.128000mm,Top,90
U3,73.152000mm,-135.128000mm,Top,90
U4,81.719500mm,-101.133000mm,Top,0
U5,48.916849mm,-95.758000mm,Top,180
U6,49.022000mm,-84.328000mm,Top,180
U7,49.022000mm,-107.188000mm,Top,180
U8,49.022000mm,-72.898000mm,Top,180
U9,101.092000mm,-135.128000mm,Top,90
U10,87.122000mm,-135.128000mm,Top,90
U11,102.362000mm,-122.428000mm,Top,180
U12,102.362000mm,-109.728000mm,Top,180
U13,47.752000mm,-56.388000mm,Top,270
U14,89.662000mm,-55.118000mm,Top,270
U15,75.692000mm,-56.388000mm,Top,270
U16,61.742800mm,-56.507199mm,Top,270
U17,102.362000mm,-97.618800mm,Top,180
U18,102.362000mm,-85.598000mm,Top,180
